,bowler,balls,runs,wkts,innings,eco,wktspermatch
0,A Ashish Reddy,270,386,19,20,143.0,95
1,A Chandila,234,242,11,12,103.0,92
2,A Choudhary,108,137,5,5,127.0,100
3,A Flintoff,66,105,2,3,,67
4,A Kumble,983,1027,49,42,104.0,117
5,A Mishra,2703,3191,142,126,118.0,113
6,A Mithun,312,448,8,16,144.0,50
7,A Nehra,1974,2422,121,88,123.0,138
8,A Nel,18,31,1,1,172.0,100
9,A Singh,486,603,31,23,124.0,135
10,A Symonds,540,656,23,30,121.0,77
11,A Uniyal,38,64,3,2,168.0,150
12,A Zampa,225,270,19,11,120.0,173
13,AA Chavan,255,318,8,13,125.0,62
14,AA Jhunjhunwala,88,126,1,10,143.0,10
15,AA Kazi,13,20,1,1,154.0,100
16,AA Noffke,25,35,1,1,140.0,100
17,AB Agarkar,820,1112,33,42,136.0,79
18,AB Dinda,1589,1987,82,75,125.0,109
19,AB McDonald,188,259,14,10,138.0,140
20,AC Gilchrist,1,0,1,1,0.0,100
21,AC Thomas,327,394,16,15,120.0,107
22,AC Voges,56,74,1,7,132.0,14
23,AD Mascarenhas,310,353,19,13,114.0,146
24,AD Mathews,807,1054,28,44,131.0,64
25,AD Russell,651,870,36,34,134.0,106
26,AF Milne,115,166,5,5,144.0,100
27,AG Murtaza,269,304,12,12,113.0,100
28,AJ Finch,44,66,1,5,150.0,20
29,AJ Tye,128,139,12,6,109.0,200
30,AL Menaria,113,140,3,12,124.0,25
31,AM Nayar,239,311,9,19,130.0,47
32,AM Rahane,6,5,1,1,83.0,100
33,AM Salvi,156,190,7,7,122.0,100
34,AN Ahmed,362,467,15,17,129.0,88
35,AP Dole,73,105,5,3,144.0,167
36,AR Patel,1280,1513,61,59,118.0,103
37,AS Rajpoot,184,226,8,11,123.0,73
38,AS Raut,30,44,0,5,147.0,0
39,AUK Pathan,41,57,0,3,139.0,0
40,Abdur Razzak,14,23,0,1,164.0,0
41,Anand Rajan,162,188,10,8,116.0,125
42,Ankit Sharma,369,425,12,20,115.0,60
43,Ankit Soni,112,141,4,6,126.0,67
44,Anureet Singh,406,559,19,19,138.0,100
45,Avesh Khan,24,23,1,1,96.0,100
46,Azhar Mahmood,552,681,31,23,123.0,135
47,B Akhil,193,235,7,13,122.0,54
48,B Chipli,6,20,0,1,333.0,0
49,B Geeves,49,90,2,2,184.0,100
50,B Kumar,2054,2244,117,90,109.0,130
51,B Laughlin,45,68,1,2,151.0,50
52,B Lee,916,1042,30,38,114.0,79
53,B Stanlake,50,68,2,2,136.0,100
54,BA Bhatt,303,389,13,15,128.0,87
55,BA Stokes,274,305,14,12,111.0,117
56,BAW Mendis,248,295,9,10,119.0,90
57,BB Sran,345,455,14,16,132.0,88
58,BCJ Cutting,171,230,9,9,135.0,100
59,BE Hendricks,157,224,11,7,143.0,157
60,BJ Hodge,238,294,18,20,124.0,90
61,BJ Rohrer,7,11,0,1,157.0,0
62,BMAJ Mendis,30,36,1,2,120.0,50
63,BW Hilfenhaus,390,461,23,17,118.0,135
64,Basil Thampi,278,414,15,12,149.0,125
65,Bipul Sharma,436,557,22,28,128.0,79
66,C Ganapathy,6,13,0,1,217.0,0
67,C Munro,12,15,0,2,125.0,0
68,C Nanda,50,55,2,3,110.0,67
69,C de Grandhomme,102,129,4,9,126.0,44
