itemId,title,details
264,The Sun Also Rises,Ernest Hemingway
284,On the Road,Jack Kerouac
350,Fear and Loathing in Las Vegas,"Hunter S. Thompson, Ralph Steadman"
442,Snow Crash,Neal Stephenson
1142,Cryptonomicon,Neal Stephenson
176,It,Stephen King
349,'Salem's Lot,Stephen King
232,"The Gunslinger (The Dark Tower, #1)",Stephen King
1589,Everything's Eventual: 14 Dark Tales,Stephen King
1900,Nightmares and Dreamscapes,Stephen King
670,The Dead Zone,Stephen King
1498,Hearts in Atlantis,Stephen King
739,Different Seasons,Stephen King
488,The Green Mile,Stephen King
865,Night Shift,"Stephen King, John D. MacDonald"
1987,The Bachman Books,"Richard Bachman, Stephen King"
168,The Stand,"Stephen King, Bernie Wrightson"
1236,Haunted,Chuck Palahniuk
289,"Watership Down (Watership Down, #1)",Richard Adams
450,"Storm Front (The Dresden Files, #1)",Jim Butcher
408,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond
687,1776,David McCullough
598,"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb
1018,"Royal Assassin (Farseer Trilogy, #2)",Robin Hobb
1246,"Assassin's Quest (Farseer Trilogy, #3)",Robin Hobb
1380,"The Complete Maus (Maus, #1-2)",Art Spiegelman
891,"Fool Moon (The Dresden Files, #2)",Jim Butcher
1318,Post Office,Charles Bukowski
167,"American Gods (American Gods, #1)",Neil Gaiman
119,The Handmaid's Tale,Margaret Atwood
429,"The Color of Magic (Discworld, #1; Rincewind #1)",Terry Pratchett
982,"The Alienist (Dr. Laszlo Kreizler, #1)",Caleb Carr
1862,Heir to the Empire (Star Wars: The Thrawn Trilogy #1),Timothy Zahn
1528,"Gardens of the Moon (The Malazan Book of the Fallen, #1)",Steven Erikson
35,The Alchemist,"Paulo Coelho, Alan R. Clarke"
1427,Heart-Shaped Box,Joe Hill
1153,"A Dirty Job (Grim Reaper, #1)",Christopher Moore
815,No Country for Old Men,Cormac McCarthy
46,Water for Elephants,Sara Gruen
666,Anansi Boys,Neil Gaiman
929,I Am Legend and Other Stories,Richard Matheson
1360,Duma Key,Stephen King
62,"The Golden Compass (His Dark Materials, #1)",Philip Pullman
368,"The Subtle Knife (His Dark Materials, #2)",Philip Pullman
1339,The Mist,Stephen King
192,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss
3,"Twilight (Twilight, #1)",Stephenie Meyer
1479,"Furies of Calderon (Codex Alera, #1)",Jim Butcher
1715,Let the Right One In,John Ajvide Lindqvist
703,Bag of Bones,Stephen King
367,"Odd Thomas (Odd Thomas, #1)",Dean Koontz
441,Under the Dome,Stephen King
757,Lonesome Dove,Larry McMurtry
960,"The Gathering Storm (Wheel of Time, #12)","Robert Jordan, Brandon Sanderson"
988,"Towers of Midnight (Wheel of Time, #13)","Robert Jordan, Brandon Sanderson"
1,The Hunger Games,Suzanne Collins
307,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss
188,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin
1659,The Day of the Triffids,John Wyndham
914,"The Forever War (The Forever War, #1)",Joe Haldeman
27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré"
21,Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPré"
2,Harry Potter and the Philosopher's Stone,"J.K. Rowling, Mary GrandPré"
24,Harry Potter and the Goblet of Fire,"J.K. Rowling, Mary GrandPré"
4,To Kill a Mockingbird,Harper Lee
485,The Brothers Karamazov,"Fyodor Dostoyevsky, Richard Pevear, Larissa Volokhonsky"
1106,The Great Divorce,C.S. Lewis
37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis
602,"The Silver Chair (Chronicles of Narnia, #4)","C.S. Lewis, Pauline Baynes"
332,"The Magician's Nephew (Chronicles of Narnia, #6)",C.S. Lewis
292,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)","C.S. Lewis, Pauline Baynes"
347,"Prince Caspian (Chronicles of Narnia, #2)",C.S. Lewis
641,"The Last Battle (Chronicles of Narnia, #7)",C.S. Lewis
542,"The Horse and His Boy (Chronicles of Narnia, #5)",C.S. Lewis
427,The Importance of Being Earnest,Oscar Wilde
1580,A Doll's House,"Henrik Ibsen, Michael   Meyer"
1521,"Antigone (The Theban Plays, #3)","Sophocles, J.E. Thomas"
1255,The House on Mango Street,Sandra Cisneros
213,The Metamorphosis,"Franz Kafka, Stanley Corngold"
1458,Corelli's Mandolin,Louis de Bernières
1186,The Glass Menagerie,Tennessee Williams
1679,Leaves of Grass,Walt Whitman
184,Matilda,"Roald Dahl, Quentin Blake"
373,The BFG,"Roald Dahl, Quentin Blake"
1373,"The Indian in the Cupboard (The Indian in the Cupboard, #1)",Lynne Reid Banks
577,Tuck Everlasting,Natalie Babbitt
103,The Count of Monte Cristo,"Alexandre Dumas, Robin Buss"
76,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster"
560,Madame Bovary,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall"
530,Much Ado About Nothing,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Gail Kern Paster, Robert          Jackson"
94,One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa"
1239,Chronicle of a Death Foretold,"Gabriel García Márquez, Gregory Rabassa"
1383,Sideways Stories from Wayside School (Wayside School #1),"Louis Sachar, Adam McCauley"
67,A Thousand Splendid Suns,Khaled Hosseini
142,"The Pillars of the Earth (The Kingsbridge Series, #1)",Ken Follett
341,The Iliad,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox"
357,All Quiet on the Western Front,"Erich Maria Remarque, A.W. Wheen"
198,The Color Purple,Alice Walker
1280,The Aeneid,"Virgil, Robert Fitzgerald"
824,"Oedipus Rex  (The Theban Plays, #1)","Sophocles, J.E. Thomas"
79,The Odyssey,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox"
872,The Plague,"Albert Camus, Stuart Gilbert"
117,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle
479,The Prince,"Niccolò Machiavelli, Adolph Caso, Rufus Goodwin, Benjamin Martinez"
387,The Crucible,"Arthur Miller, Christopher Bigsby"
576,Candide,Voltaire
25,Harry Potter and the Deathly Hallows,"J.K. Rowling, Mary GrandPré"
681,"Little House in the Big Woods (Little House, #1)","Laura Ingalls Wilder, Garth Williams"
1094,My Ántonia,Willa Cather
93,The Secret Garden,Frances Hodgson Burnett
80,The Little Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta"
19,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien
23,Harry Potter and the Chamber of Secrets,"J.K. Rowling, Mary GrandPré"
18,Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPré, Rufus Beck"
461,"The Good Earth (House of Earth, #1)",Pearl S. Buck
778,The Hunchback of Notre-Dame,"Victor Hugo, Walter J. Cobb"
855,Twelfth Night,William Shakespeare
155,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien
161,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien
499,American Psycho,Bret Easton Ellis
1949,Howards End,E.M. Forster
590,David Copperfield,"Charles Dickens, Jeremy Tambling"
245,Bridge to Terabithia,Katherine Paterson
40,"Eat, Pray, Love",Elizabeth Gilbert
98,"The Girl Who Played with Fire (Millennium, #2)","Stieg Larsson, Reg Keeland"
140,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","Stieg Larsson, Reg Keeland"
216,The Art of Racing in the Rain,Garth Stein
1121,"Blood Meridian, or the Evening Redness in the West",Cormac McCarthy
743,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore
39,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin
165,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin
135,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin
110,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin
1299,Still Life with Woodpecker,Tom Robbins
70,"Ender's Game (Ender's Saga, #1)",Orson Scott Card
360,Do Androids Dream of Electric Sheep?,"Philip K. Dick, Roger Zelazny"
496,"The Clan of the Cave Bear (Earth's Children, #1)",Jean M. Auel
2047,"The Valley of Horses (Earth's Children, #2)",Jean M. Auel
806,"Wizard and Glass (The Dark Tower, #4)","Stephen King, Dave McKean"
1053,"Song of Susannah (The Dark Tower, #6)","Stephen King, Darrel Anderson"
612,"The Drawing of the Three (The Dark Tower, #2)",Stephen King
936,"Wolves of the Calla (The Dark Tower, #5)","Stephen King, Bernie Wrightson"
1261,The Eyes of the Dragon,Stephen King
725,"The Waste Lands (The Dark Tower, #3)","Stephen King, Ned Dameron"
13,1984,"George Orwell, Erich Fromm, Celâl Üster"
14,Animal Farm,George Orwell
28,Lord of the Flies,William Golding
2015,The Bridges of Madison County,Robert James Waller
32,Of Mice and Men,John Steinbeck
287,The Fountainhead,"Ayn Rand, Leonard Peikoff"
994,"All Creatures Great and Small (All Creatures Great and Small, #1-2)",James Herriot
1656,All Things Bright and Beautiful (All Creatures Great and Small),James Herriot
33,Memoirs of a Geisha,Arthur Golden
272,Like Water for Chocolate,"Laura Esquivel, Thomas  Christensen, Carol Christensen"
271,Flowers for Algernon,Daniel Keyes
136,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells
101,Me Talk Pretty One Day,David Sedaris
55,Brave New World,Aldous Huxley
372,Dress Your Family in Corduroy and Denim,David Sedaris
239,World War Z: An Oral History of the Zombie War,Max Brooks
430,Kafka on the Shore,"Haruki Murakami, Philip Gabriel"
115,Middlesex,Jeffrey Eugenides
1283,Ishmael:A Novel,Daniel Quinn
557,The Virgin Suicides,Jeffrey Eugenides
534,When You Are Engulfed in Flames,David Sedaris
520,The Wind-Up Bird Chronicle,"Haruki Murakami, Jay Rubin"
268,Never Let Me Go,Kazuo Ishiguro
1310,Unaccustomed Earth,Jhumpa Lahiri
197,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris
527,"Living Dead in Dallas (Sookie Stackhouse, #2)",Charlaine Harris
563,"Club Dead (Sookie Stackhouse, #3)",Charlaine Harris
558,"Dead to the World (Sookie Stackhouse, #4)",Charlaine Harris
631,"Dead as a Doornail (Sookie Stackhouse, #5)",Charlaine Harris
47,The Book Thief,Markus Zusak
1964,"Fool's Errand (Tawny Man, #1)",Robin Hobb
467,The Brief Wondrous Life of Oscar Wao,Junot Díaz
273,Snow Flower and the Secret Fan,Lisa See
122,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","Gregory Maguire, Douglas Smith"
31,The Help,Kathryn Stockett
1238,What Is the What,Dave Eggers
719,A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle
744,The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle
195,The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows"
312,The Graveyard Book,"Neil Gaiman, Dave McKean"
1464,The Complete Persepolis,"Marjane Satrapi, Mattias Ripa, Blake Ferris, Anjali Singh"
231,Sarah's Key,Tatiana de Rosnay
1136,Let the Great World Spin,Colum McCann
657,The White Tiger,Aravind Adiga
523,The Things They Carried,Tim O'Brien
1319,"All the Pretty Horses (The Border Trilogy, #1)",Cormac McCarthy
106,Bossypants,Tina Fey
1531,"Gregor the Overlander (Underland Chronicles, #1)",Suzanne Collins
638,A Visit from the Goon Squad,Jennifer Egan
10,Pride and Prejudice,Jane Austen
629,Veronika Decides to Die,"Paulo Coelho, Margaret Jull Costa"
669,The House of the Spirits,"Isabel Allende, Magda Bogin"
653,Blindness,"José Saramago, Giovanni Pontiero"
489,The Prophet,Kahlil Gibran
828,"Persepolis: The Story of a Childhood (Persepolis, #1)","Marjane Satrapi, Mattias Ripa"
786,Falling Up,Shel Silverstein
85,The Giving Tree,Shel Silverstein
278,A Light in the Attic,Shel Silverstein
606,Jonathan Livingston Seagull,"Richard Bach, Russell Munson"
1206,By the River Piedra I Sat Down and Wept,"Paulo Coelho, Alan R. Clarke"
635,Sophie's World,"Jostein Gaarder, Paulette Møller"
709,Nine Stories,J.D. Salinger
138,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym"
899,The Age of Innocence,"Edith Wharton, Maureen Howard"
233,Love in the Time of Cholera,"Gabriel García Márquez, Edith Grossman"
209,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas Harris
180,Siddhartha,"Hermann Hesse, Hilda Rosner"
130,The Old Man and the Sea,Ernest Hemingway
1624,Nausea,"Jean-Paul Sartre, Lloyd Alexander, Hayden Carruth"
109,Les Miserables,"Victor Hugo, Lee Fahnestock, Norman MacAfee"
397,Perfume: The Story of a Murderer,"Patrick Süskind, John E. Woods"
1041,The Idiot,"Fyodor Dostoyevsky, Constance Garnett, Alan Myers, Joseph Frank, Anna Brailovsky"
315,Who Moved My Cheese?,"Spencer Johnson, Kenneth H. Blanchard"
162,The Stranger,"Albert Camus, Matthew    Ward"
323,The Unbearable Lightness of Being,"Milan Kundera, Michael Henry Heim"
1031,A Moveable Feast,Ernest Hemingway
934,Waiting for Godot,Samuel Beckett
483,Franny and Zooey,J.D. Salinger
1214,Ulysses,James Joyce
1135,Dubliners,"James Joyce, Jeri Johnson"
959,A Portrait of the Artist as a Young Man,"James Joyce, Seamus Deane"
121,Lolita,"Vladimir Nabokov, Craig Raine"
154,Macbeth,William Shakespeare
66,Gone with the Wind,Margaret Mitchell
1113,Thus Spoke Zarathustra,"Friedrich Nietzsche, Walter Kaufmann"
935,White Fang,Jack London
95,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides"
177,Crime and Punishment,"Fyodor Dostoyevsky, David McDuff"
706,Around the World in Eighty Days,"Jules Verne, Michael Glencross, Brian W. Aldiss"
550,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan
92,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","Steven D. Levitt, Stephen J. Dubner"
127,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell
211,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell
