bowler,balls,runs,wkts,innings,eco,wktspermatch
A Ashish Reddy,270,386,19,20,143,95
A Chandila,234,242,11,12,103,92
A Choudhary,108,137,5,5,127,100
A Flintoff,66,105,2,3,,67
A Kumble,983,1027,49,42,104,117
A Mishra,2703,3191,142,126,118,113
A Mithun,312,448,8,16,144,50
A Nehra,1974,2422,121,88,123,138
A Nel,18,31,1,1,172,100
A Singh,486,603,31,23,124,135
A Symonds,540,656,23,30,121,77
A Uniyal,38,64,3,2,168,150
A Zampa,225,270,19,11,120,173
AA Chavan,255,318,8,13,125,62
AA Jhunjhunwala,88,126,1,10,143,10
AA Kazi,13,20,1,1,154,100
AA Noffke,25,35,1,1,140,100
AB Agarkar,820,1112,33,42,136,79
AB Dinda,1589,1987,82,75,125,109
AB McDonald,188,259,14,10,138,140
AC Gilchrist,1,0,1,1,0,100
AC Thomas,327,394,16,15,120,107
AC Voges,56,74,1,7,132,14
AD Mascarenhas,310,353,19,13,114,146
AD Mathews,807,1054,28,44,131,64
AD Russell,651,870,36,34,134,106
AF Milne,115,166,5,5,144,100
AG Murtaza,269,304,12,12,113,100
AJ Finch,44,66,1,5,150,20
AJ Tye,128,139,12,6,109,200
AL Menaria,113,140,3,12,124,25
AM Nayar,239,311,9,19,130,47
AM Rahane,6,5,1,1,83,100
AM Salvi,156,190,7,7,122,100
AN Ahmed,362,467,15,17,129,88
AP Dole,73,105,5,3,144,167
AR Patel,1280,1513,61,59,118,103
AS Rajpoot,184,226,8,11,123,73
AS Raut,30,44,0,5,147,0
AUK Pathan,41,57,0,3,139,0
Abdur Razzak,14,23,0,1,164,0
Anand Rajan,162,188,10,8,116,125
Ankit Sharma,369,425,12,20,115,60
Ankit Soni,112,141,4,6,126,67
Anureet Singh,406,559,19,19,138,100
Avesh Khan,24,23,1,1,96,100
Azhar Mahmood,552,681,31,23,123,135
B Akhil,193,235,7,13,122,54
B Chipli,6,20,0,1,333,0
B Geeves,49,90,2,2,184,100
B Kumar,2054,2244,117,90,109,130
B Laughlin,45,68,1,2,151,50
B Lee,916,1042,30,38,114,79
B Stanlake,50,68,2,2,136,100
BA Bhatt,303,389,13,15,128,87
BA Stokes,274,305,14,12,111,117
BAW Mendis,248,295,9,10,119,90
BB Sran,345,455,14,16,132,88
BCJ Cutting,171,230,9,9,135,100
BE Hendricks,157,224,11,7,143,157
BJ Hodge,238,294,18,20,124,90
BJ Rohrer,7,11,0,1,157,0
BMAJ Mendis,30,36,1,2,120,50
BW Hilfenhaus,390,461,23,17,118,135
Basil Thampi,278,414,15,12,149,125
Bipul Sharma,436,557,22,28,128,79
C Ganapathy,6,13,0,1,217,0
C Munro,12,15,0,2,125,0
C Nanda,50,55,2,3,110,67
C de Grandhomme,102,129,4,9,126,44
CH Gayle,579,675,19,37,,51
CH Morris,1042,1230,62,48,118,129
CJ Anderson,259,387,9,19,149,47
CJ Jordan,188,249,14,10,132,140
CJ McKay,42,60,1,2,143,50
CK Kapugedera,17,49,0,3,288,0
