,USER_ID,AVG_PERC,MAX_PERC,TOP3_AVG,NMOCKS,ATT,OK,ACC,AVG_ATT
1,302344,62.06370813,83.09541019,80.68,12,636,427,67.14,53
2,304203,95.45202936,99.65427831,98.91,5,379,281,74.14,75.8
5,307798,57.08030491,81.07034523,65.56,5,258,165,63.95,51.6
7,351294,49.71491539,89.94953743,75.48,13,790,445,56.33,60.76923077
9,624217,50.32710864,76.6045066,65.43,7,309,203,65.7,44.14285714
12,765540,76.13869777,94.42348008,88.65,9,505,352,69.7,56.11111111
17,924881,38.1581579,58.07404206,44.94,4,221,112,50.68,55.25
18,947955,48.56725843,57.89094979,53.45,4,271,144,53.14,67.75
20,971171,85.81245805,93.5960985,92.35,11,684,492,71.93,62.18181818
21,995813,45.37422964,59.09680207,54.89,6,258,159,61.63,43
22,1005075,30.47648998,54.44299957,43.15,7,364,186,51.1,52
24,1013540,30.98837227,47.92193712,44.25,8,372,190,51.08,46.5
27,1021074,22.62327613,36.6537021,30.99,6,253,127,50.2,42.16666667
28,1022121,32.47323679,53.50104822,38.06,5,223,125,56.05,44.6
29,1022744,62.82460354,86.66666667,81.95,9,526,319,60.65,58.44444444
30,1028708,89.08971569,97.10688053,96.06,8,540,396,73.33,67.5
32,1052625,71.15154242,91.42464962,85.26,12,802,488,60.85,66.83333333
33,1054079,75.11514548,91.33473096,89.78,14,899,583,64.85,64.21428571
34,1054840,55.85872646,64.57460638,63.14,8,393,250,63.61,49.125
35,1059703,47.41279237,69.95807128,63.67,12,595,359,60.34,49.58333333
36,1059803,62.19071514,84.13281475,76.62,7,492,246,50,70.28571429
37,1063294,63.01224259,78.77707897,77.3,12,493,405,82.15,41.08333333
39,1069203,28.43053635,40.99243061,38.99,10,396,224,56.57,39.6
40,1071700,53.99774164,65.7079646,58.67,4,183,127,69.4,45.75
42,1087835,69.51089826,80.73233131,77.67,7,403,269,66.75,57.57142857
43,1096423,90.75243384,96.92699745,95.81,11,816,532,65.2,74.18181818
44,1099379,59.53468609,75.89052288,66.71,5,227,154,67.84,45.4
45,1103838,58.00982177,82.19910418,63.56,5,295,188,63.73,59
46,1105482,74.72805982,93.70017196,87.92,10,666,404,60.66,66.6
